,from_id,to_id,travel_time
686,48060191,100,21.0
687,48060191,275,19.0
688,48060191,283,25.0
689,48060191,292,25.0
690,48060192,43,4.0
691,48060192,100,15.0
692,48060192,275,13.0
693,48060192,283,23.0
694,48060192,292,23.0
695,48060193,43,3.0
696,48060193,100,14.0
697,48060193,275,11.0
698,48060193,283,16.0
699,48060193,292,16.0
700,48060194,43,13.0
701,48060194,100,16.0
702,48060194,275,14.0
703,48060194,283,17.0
704,48060194,292,17.0
705,48060195,43,13.0
706,48060195,100,9.0
707,48060195,275,2.0
708,48060195,332,17.0
709,48060196,43,19.0
710,48060196,100,11.0
711,48060196,275,8.0
712,48060196,332,16.0
713,48060197,43,15.0
714,48060197,100,20.0
715,48060197,275,12.0
716,48060197,332,23.0
717,48060198,100,14.0
718,48060198,275,18.0
719,48060198,332,16.0
720,48060199,43,22.0
721,48060199,100,6.0
722,48060199,275,12.0
723,48060199,332,9.0
724,48060200,100,6.0
725,48060200,275,12.0
726,48060200,332,5.0
727,48060201,100,16.0
728,48060201,275,21.0
729,48060201,332,9.0
730,48060202,100,17.0
731,48060202,275,24.0
732,48060202,332,15.0
733,48060203,332,21.0
734,48060206,296,29.0
735,48060206,303,34.0
736,48060206,304,29.0
737,48060207,296,27.0
738,48060207,303,32.0
739,48060207,304,27.0
740,48060208,296,12.0
741,48060208,303,20.0
742,48060208,304,12.0
743,48060209,53,31.0
744,48060209,296,28.0
745,48060209,303,29.0
746,48060209,304,28.0
747,48060210,53,24.0
748,48060210,296,26.0
749,48060210,303,26.0
750,48060210,304,26.0
751,48060211,53,35.0
752,48060211,274,48.0
753,48060211,296,28.0
754,48060211,303,23.0
755,48060211,304,28.0
756,48060212,53,21.0
757,48060212,72,20.0
758,48060212,274,33.0
759,48060214,53,21.0
760,48060214,72,13.0
761,48060215,53,35.0
762,48060215,72,26.0
763,48060216,53,35.0
764,48060216,72,15.0
765,48060229,53,6.0
766,48060229,72,27.0
767,48060229,274,18.0
768,48060230,53,14.0
769,48060230,239,29.0
770,48060230,273,27.0
771,48060230,274,11.0
772,48060232,53,21.0
773,48060232,239,9.0
774,48060232,273,12.0
775,48060232,274,12.0
776,48060233,53,19.0
777,48060233,239,11.0
778,48060233,273,14.0
779,48060233,274,13.0
780,48060234,53,15.0
781,48060234,239,16.0
782,48060234,273,19.0
783,48060234,274,13.0
784,48060235,53,16.0
785,48060235,274,20.0
786,48060235,296,44.0
787,48060235,303,43.0
788,48060235,304,44.0
789,48060237,239,11.0
790,48060237,273,14.0
791,48060237,274,21.0
792,48060238,239,17.0
793,48060238,273,20.0
794,48060238,274,31.0
795,48060239,239,7.0
796,48060239,273,10.0
797,48060239,274,27.0
798,48060240,239,7.0
799,48060240,273,10.0
800,48060241,139,30.0
801,48060241,230,26.0
802,48060241,239,15.0
803,48060241,273,19.0
804,48060241,274,33.0
805,48060242,139,27.0
806,48060242,230,23.0
807,48060242,239,10.0
808,48060242,273,13.0
809,48060242,274,28.0
810,48060243,139,15.0
811,48060243,230,10.0
812,48060243,239,17.0
813,48060243,273,14.0
814,48060243,274,22.0
815,48060244,112,33.0
816,48060244,139,19.0
817,48060244,230,15.0
818,48060244,239,18.0
819,48060244,273,21.0
820,48060245,112,43.0
821,48060245,139,11.0
822,48060245,230,8.0
823,48060245,239,21.0
824,48060245,273,20.0
825,48060246,112,43.0
826,48060246,139,12.0
827,48060246,230,9.0
828,48060246,239,22.0
829,48060246,273,21.0
830,48060252,112,12.0
831,48060254,112,19.0
832,48060267,239,32.0
833,48060267,273,36.0
834,48060268,279,30.0
835,48060269,239,22.0
836,48060269,273,26.0
837,48060273,279,26.0
838,48060274,279,22.0
839,48060275,279,29.0
840,48060276,33,26.0
841,48060276,104,33.0
842,48060276,279,21.0
843,48060277,33,16.0
844,48060277,104,24.0
845,48060277,279,12.0
846,48060278,33,17.0
847,48060278,104,24.0
848,48060278,279,15.0
849,48060281,279,17.0
850,48060283,33,27.0
851,48060283,104,33.0
852,48060283,279,22.0
853,48060284,33,26.0
854,48060284,104,31.0
855,48060284,279,20.0
856,48060286,33,24.0
857,48060286,104,25.0
858,48060286,279,23.0
859,48060289,205,16.0
860,48060290,283,37.0
861,48060290,292,37.0
862,48060291,283,38.0
863,48060291,292,38.0
864,48060293,296,22.0
865,48060293,303,22.0
866,48060293,304,22.0
867,48060294,296,16.0
868,48060294,303,16.0
869,48060294,304,16.0
870,48060295,296,11.0
871,48060295,303,12.0
872,48060295,304,11.0
873,48060298,296,21.0
874,48060298,303,11.0
875,48060298,304,21.0
876,48060299,53,40.0
877,48060299,274,47.0
878,48060299,296,23.0
879,48060299,303,13.0
880,48060299,304,23.0
881,48060300,296,18.0
882,48060300,303,8.0
883,48060300,304,18.0
884,48060301,53,39.0
885,48060301,274,48.0
886,48060301,296,26.0
887,48060301,303,19.0
888,48060301,304,26.0
889,48060302,296,18.0
890,48060302,303,7.0
891,48060302,304,18.0
892,48060303,296,2.0
893,48060303,303,13.0
894,48060303,304,2.0
895,48060306,43,17.0
896,48060306,100,19.0
897,48060306,275,19.0
898,48060306,283,15.0
899,48060306,292,15.0
900,48060307,283,12.0
901,48060307,292,12.0
902,48060308,88,30.0
903,48060308,205,28.0
904,48060308,339,30.0
905,48060309,88,28.0
906,48060309,205,13.0
907,48060309,339,30.0
908,48060310,88,25.0
909,48060310,205,4.0
910,48060310,339,25.0
911,48060311,34,24.0
912,48060311,88,20.0
913,48060311,135,23.0
914,48060311,172,15.0
915,48060311,205,10.0
916,48060311,339,21.0
917,48060312,34,20.0
918,48060312,88,28.0
919,48060312,135,18.0
920,48060312,172,10.0
921,48060312,205,12.0
922,48060312,339,28.0
923,48060314,33,25.0
924,48060314,34,17.0
925,48060314,104,21.0
926,48060314,135,13.0
927,48060314,172,8.0
928,48060314,205,24.0
929,48060315,34,5.0
930,48060315,135,7.0
931,48060315,172,13.0
932,48060315,205,30.0
933,48060315,338,16.0
934,48060316,33,15.0
935,48060316,34,15.0
936,48060316,104,14.0
937,48060316,135,10.0
938,48060316,172,15.0
939,48060317,34,14.0
940,48060317,82,21.0
941,48060317,135,12.0
942,48060317,172,19.0
943,48060317,338,23.0
944,48060318,33,17.0
945,48060318,34,17.0
946,48060318,104,17.0
947,48060318,135,16.0
948,48060318,172,22.0
949,48060319,34,19.0
950,48060319,82,9.0
951,48060319,135,23.0
952,48060319,172,27.0
953,48060319,338,24.0
954,48060320,82,17.0
955,48060321,33,20.0
956,48060321,104,24.0
957,48060322,33,16.0
958,48060322,34,18.0
959,48060322,104,14.0
960,48060322,135,16.0
961,48060322,172,22.0
962,48060323,33,11.0
963,48060323,104,13.0
964,48060323,279,22.0
965,48060324,33,13.0
966,48060324,104,4.0
967,48060324,279,20.0
968,48060325,33,6.0
969,48060325,104,7.0
970,48060325,279,16.0
971,48060326,33,11.0
972,48060326,104,16.0
973,48060326,279,23.0
974,48060327,33,12.0
975,48060327,104,23.0
976,48060327,279,18.0
977,48060328,33,21.0
978,48060328,104,29.0
979,48060328,279,16.0
980,48060329,33,14.0
981,48060329,104,23.0
982,48060329,279,11.0
983,48060331,279,30.0
984,48060339,112,10.0
985,48060340,112,11.0
986,48060341,112,7.0
987,48060341,139,51.0
988,48060341,230,45.0
989,48060349,112,50.0
990,48060349,139,14.0
991,48060349,230,17.0
992,48060349,239,27.0
993,48060349,273,30.0
994,48060355,73,10.0
995,48060356,73,18.0
996,48060356,139,34.0
997,48060356,230,36.0
998,48060357,73,18.0
999,48060357,81,55.0
1000,48060357,152,50.0
1001,48060357,278,52.0
1002,48060357,354,52.0
1003,48060357,355,52.0
1004,48060357,362,49.0
1005,48060357,363,51.0
1006,48060358,73,32.0
1007,48060358,139,15.0
1008,48060358,230,19.0
1009,48060358,239,26.0
1010,48060358,273,27.0
1011,48060358,274,12.0
1012,48060370,38,38.0
1013,48060370,188,36.0
1014,48060373,38,22.0
1015,48060373,188,12.0
1016,48060374,38,23.0
1017,48060374,188,4.0
1018,48060374,214,31.0
1019,48060374,290,21.0
1020,48060375,38,24.0
1021,48060375,188,9.0
1022,48060377,38,22.0
1023,48060377,188,6.0
1024,48060378,38,11.0
1025,48060378,188,12.0
1026,48060378,214,25.0
1027,48060378,290,22.0
1028,48060379,38,13.0
1029,48060379,188,13.0
1030,48060379,214,26.0
1031,48060379,290,21.0
1032,48060380,38,9.0
1033,48060380,42,19.0
1034,48060380,188,26.0
1035,48060380,214,23.0
1036,48060380,290,9.0
1037,48060381,38,14.0
1038,48060381,42,15.0
1039,48060381,188,23.0
1040,48060381,214,25.0
1041,48060381,290,4.0
1042,48060382,38,12.0
1043,48060382,42,17.0
1044,48060382,188,25.0
1045,48060382,214,15.0
1046,48060382,290,7.0
1047,48060383,38,10.0
1048,48060383,42,19.0
1049,48060383,188,23.0
1050,48060383,214,10.0
1051,48060383,290,10.0
1052,48060384,38,16.0
1053,48060384,42,21.0
1054,48060384,188,27.0
1055,48060384,214,10.0
1056,48060384,290,17.0
1057,48060385,38,21.0
1058,48060385,42,18.0
1059,48060385,188,26.0
1060,48060385,214,10.0
1061,48060385,290,15.0
1062,48060386,42,14.0
1063,48060386,95,20.0
1064,48060386,214,16.0
1065,48060387,42,21.0
1066,48060387,95,19.0
1067,48060387,214,28.0
1068,48060388,38,17.0
1069,48060388,42,23.0
1070,48060388,188,27.0
